SYMBOL,ENTREZID,Control 1a C1A_NA,Control 1b C1B_NA,Control 2a C2A_NA,Control 2b C2B_NA,Control 3a C3a_NA,Control 3b C3b_NA,Control 4a C4a_NA,Tissue (HPA),Cell type (HPA),Level (HPA),Reliability (HPA)
ADCY4,196883,6.12836,5.05326,0.367008,0.354409,0.204217,0.0625979,3.47247,NA,NA,NA,NA
ADCY5,111,0.278844,0.0672409,0.565548,0.68554,0.145071,0.289069,0.518784,NA,NA,NA,NA
ADCY6,112,51.856,40.2373,28.5787,19.5565,36.247,31.989,45.8816,cerebral-cortex,glial-cells,Low,Approved
ADCY7,113,10.9554,10.3889,12.6394,9.74023,16.586,13.0481,8.4141,NA,NA,NA,NA
ADCY9,115,5.13287,6.7524,3.03518,2.99256,6.24646,7.79826,7.46456,cerebral-cortex,glial-cells,Medium,Approved
ADD1,118,124.163,130.708,113.41,122.597,131.334,137.86,174.424,cerebral-cortex,glial-cells,Low,Enhanced
ADD3,120,208.093,206.188,56.5731,72.2574,168.959,151.358,101.692,cerebral-cortex,glial-cells,Medium,Supported
ADH5,128,91.5534,91.552,86.5357,86.7014,109.226,105.793,118.853,NA,NA,NA,NA
ADH5P4,642443,12.5409,11.8423,12.6994,11.6502,14.4176,15.6352,16.7542,NA,NA,NA,NA
ADH6,130,0.412736,0.694024,0.466883,0.223436,0.175478,0.281324,0.0539467,NA,NA,NA,NA
ADHFE1,137872,2.3753,2.52396,0.881564,1.80913,5.11153,3.27155,3.71765,NA,NA,NA,NA
ADI1,55256,54.8201,54.1141,31.4216,27.8626,50.6177,51.6978,76.3462,cerebral-cortex,glial-cells,Medium,Approved
ADIPOR1,51094,48.5896,42.0634,51.6115,46.343,79.9881,82.1737,105.721,NA,NA,NA,NA
ADIPOR1P2,390503,1.27649,0.337666,1.11277,1.19773,0.601005,0.160082,2.61639,NA,NA,NA,NA
ADIPOR2,79602,17.9411,16.8757,21.0789,21.7487,18.6763,18.6582,27.168,NA,NA,NA,NA
ADIRF,10974,0.116791,0.449711,0,0.641469,1.67668,0.171024,2.73181,NA,NA,NA,NA
ADIRF-AS1,100133190,2.60211,3.24284,1.81998,1.04912,1.99326,2.8443,2.38177,NA,NA,NA,NA
ADK,132,29.5245,28.8852,23.3609,25.1809,31.6832,28.9041,49.4021,NA,NA,NA,NA
ADM,133,42.0646,43.7248,36.5877,30.2529,42.8924,47.7908,94.4877,NA,NA,NA,NA
ADM2,79924,7.62352,7.49061,8.46956,6.98867,4.25212,5.62009,3.86623,NA,NA,NA,NA
ADM5,199800,0.116876,0.121837,0.39319,0.234284,0.0856581,0.153682,0,NA,NA,NA,NA
ADNP,23394,17.7651,19.2329,20.0469,23.6826,13.0702,12.9521,10.0187,cerebral-cortex,glial-cells,High,Supported
ADNP2,22850,5.90119,6.24073,5.16633,6.58768,4.47428,3.38639,5.31753,NA,NA,NA,NA
ADO,84890,6.63528,6.54194,6.77492,7.80751,7.04825,7.7766,7.54258,NA,NA,NA,NA
ADORA1,134,0.0857288,0.0646004,4.06137,3.72255,0.101788,0.193684,0.9509,NA,NA,NA,NA
ADORA2A,135,1.42631,1.27934,0.245874,0.627663,0.978536,0.504882,0.460148,NA,NA,NA,NA
ADORA2A-AS1,646023,0.0896785,0.0738636,0.107911,0.015006,0.0422999,0.0419527,0.0647896,NA,NA,NA,NA
ADORA2B,136,6.07095,5.66252,3.75322,3.91089,2.54378,2.72757,12.3435,NA,NA,NA,NA
ADPGK,83440,48.161,49.6432,45.2026,45.7761,59.7745,71.6715,81.4872,NA,NA,NA,NA
ADPGK-AS1,100287559,0.0727398,0.139718,0.19152,0.0636262,0.019048,0,0.0876647,NA,NA,NA,NA
ADPRH,141,0.294791,0.268909,0.138239,0.13939,0.0287132,0.185392,0.365793,cerebral-cortex,glial-cells,Low,Approved
ADPRHL1,113622,0.531867,0.850143,2.28236,2.52409,0.338642,0.522734,0.577395,NA,NA,NA,NA
ADPRHL2,54936,15.1908,13.8417,15.4215,12.6573,19.0783,22.4538,26.638,cerebral-cortex,glial-cells,Low,Approved
ADPRM,56985,5.11975,6.08252,4.27985,4.90834,5.41394,5.37915,6.18404,NA,NA,NA,NA
ADRA1B,147,0.770989,0.702486,0.582491,0.390443,2.60133,1.93363,3.18849,NA,NA,NA,NA
ADRA1D,146,0.186113,0.098464,0.611888,0.78412,1.10776,1.0002,0.499111,NA,NA,NA,NA
ADRA2C,152,0.290537,0.373662,0.4112,0.439877,0.664247,0.591689,1.46638,NA,NA,NA,NA
ADRB2,154,0.447233,0.47322,0.168425,0.172664,1.28858,1.39981,6.18372,NA,NA,NA,NA
ADRM1,11047,99.6227,93.3136,106.064,87.3008,125.748,143.539,128.189,cerebral-cortex,glial-cells,Medium,Supported
ADSL,158,36.68,37.6658,41.2246,40.8122,42.3853,39.6583,47.8999,cerebral-cortex,glial-cells,Medium,Enhanced
ADTRP,84830,0.614125,0.375886,2.48208,1.63336,3.69443,3.449,4.75144,NA,NA,NA,NA
AEBP1,165,92.1323,81.9085,36.7012,28.9897,75.3362,65.9977,56.0709,cerebral-cortex,glial-cells,Low,Supported
AEBP2,121536,12.7364,13.8131,12.0571,14.4518,11.1951,11.6796,6.00268,NA,NA,NA,NA
AEN,64782,22.1432,20.5628,30.1592,27.8042,28.7451,27.0299,39.2692,NA,NA,NA,NA
AFAP1,60312,51.4711,43.9508,52.0552,44.4129,53.9717,57.6373,40.8687,cerebral-cortex,glial-cells,Low,Enhanced
AFAP1-AS1,84740,0.328189,0.27357,0.214924,0.265049,0.267652,0.300476,0.17546,NA,NA,NA,NA
AFAP1L1,134265,2.78682,2.63909,9.00467,6.04563,8.27137,7.5023,11.4819,NA,NA,NA,NA
AFAP1L2,84632,0.527307,0.393107,0.541966,0.4027,0.102133,0.130118,0.189309,NA,NA,NA,NA
AFF1,4299,7.5284,7.09007,12.327,11.1496,16.1337,16.0572,14.3935,NA,NA,NA,NA
AFF3,3899,28.8598,30.2352,14.913,18.6207,13.4159,16.0513,7.49076,cerebral-cortex,glial-cells,Low,Approved
AFF4,27125,43.981,45.897,42.9572,49.7428,33.2949,39.5298,19.8783,cerebral-cortex,glial-cells,High,Approved
AFG3L1P,172,8.16865,9.18664,10.8894,7.8323,7.11086,7.41171,3.65577,NA,NA,NA,NA
AFG3L2,10939,22.6285,26.344,23.2037,26.2603,28.2287,26.9508,31.0752,cerebral-cortex,glial-cells,Medium,Enhanced
AFG3L2P1,347028,0.883958,0.645818,0.858651,0.970541,1.30793,0.823437,0.953657,NA,NA,NA,NA
AFMID,125061,26.7212,23.4649,12.8278,12.3967,26.2323,20.6342,48.5229,NA,NA,NA,NA
AFP,174,1.06213,0.529122,2.74854,1.11822,2.29445,4.38006,5.92091,NA,NA,NA,NA
AFTPH,54812,7.63563,7.63692,6.96775,6.45899,6.76565,6.2387,4.98277,NA,NA,NA,NA
AGA,175,34.0636,33.5836,39.0068,38.4536,26.8984,23.9396,21.181,cerebral-cortex,glial-cells,Low,Enhanced
AGAP1,116987,9.78698,8.27921,7.0061,7.24899,7.60121,9.07846,7.97552,NA,NA,NA,NA
AGAP2,116986,0.212232,0.0853757,0.10583,0.502356,0.456349,0.354393,0.561542,cerebral-cortex,glial-cells,Medium,Enhanced
AGAP2-AS1,100130776,7.54014,7.0581,11.905,10.3006,10.4543,11.7234,9.67392,NA,NA,NA,NA
AGAP3,116988,69.0334,72.5629,64.1947,54.5733,75.6286,104.506,85.1915,cerebral-cortex,glial-cells,Medium,Approved
AGAP5,729092,0.266106,0.1323,0.185378,0.110873,0.167144,0.030718,0.0763826,NA,NA,NA,NA
AGBL2,79841,0.262422,0.49465,0.1635,0.268445,0.167049,0.283405,0.280562,NA,NA,NA,NA
AGBL3,340351,0.415157,0.993474,0.650368,0.566376,0.941354,0.338064,0.143795,NA,NA,NA,NA
AGBL5,60509,9.09054,10.3659,11.0267,13.4106,16.9421,14.409,13.2309,NA,NA,NA,NA
AGBL5-IT1,106481744,0.4737,1.00245,0.247767,1.01553,0.335011,0,0.919822,NA,NA,NA,NA
AGFG1,3267,45.6301,42.215,43.3088,46.4459,32.9234,33.6603,34.5061,NA,NA,NA,NA
AGFG2,3268,6.37305,5.6593,4.59761,4.17355,8.49382,6.02004,11.5644,NA,NA,NA,NA
AGGF1,55109,5.23421,6.12133,5.45086,6.44034,4.82342,5.23099,3.6211,NA,NA,NA,NA
AGK,55750,11.6025,13.9038,12.5962,13.9063,11.419,15.0252,11.5441,cerebral-cortex,glial-cells,Low,Supported
AGL,178,2.38724,3.24932,3.06909,3.80566,3.56501,3.58373,1.41369,cerebral-cortex,glial-cells,High,Approved
AGMAT,79814,0.27203,0.212111,0.314532,0.307088,0.382025,0.257127,0.333661,NA,NA,NA,NA
AGO1,26523,5.25486,4.81735,4.9529,5.5617,3.52511,3.47124,3.57913,NA,NA,NA,NA
AGO2,27161,27.3533,23.0705,11.1769,14.5234,17.9594,17.4412,12.7859,cerebral-cortex,glial-cells,High,Approved
AGO3,192669,9.18396,8.99962,8.52855,8.81412,7.8972,8.00956,4.47684,NA,NA,NA,NA
AGO4,192670,7.23327,5.97718,5.24327,6.62334,5.96628,6.00864,1.66149,NA,NA,NA,NA
AGPAT2,10555,20.1618,18.7612,15.0528,15.5504,22.8061,29.7138,33.9986,NA,NA,NA,NA
AGPAT3,56894,20.1008,19.4772,14.1348,12.2924,22.0258,21.6177,19.5175,NA,NA,NA,NA
AGPAT4,56895,5.39684,3.77473,11.8847,10.9026,5.67003,6.2163,5.08346,cerebral-cortex,glial-cells,Medium,Approved
AGPAT5,55326,10.4704,9.56615,14.8752,15.8215,6.40917,8.04318,4.86926,NA,NA,NA,NA
AGPS,8540,7.30932,7.93611,12.7987,14.2757,8.53814,11.2958,6.39033,NA,NA,NA,NA
AGRN,375790,134.641,114.895,180.414,142.159,155.269,156.696,136.783,cerebral-cortex,glial-cells,Low,Approved
AGT,183,0.330735,0.377606,0.461306,0.202679,0.769585,0.568776,1.03986,NA,NA,NA,NA
AGTPBP1,23287,3.95331,3.14093,2.31523,2.5451,2.45994,2.16922,1.55366,NA,NA,NA,NA
AGTR1,185,4.14226,3.71638,3.92611,4.2918,5.81328,5.06811,0.15134,NA,NA,NA,NA
AGTRAP,57085,14.9165,14.3102,14.8691,12.8979,20.6658,26.8242,28.4985,NA,NA,NA,NA
AHCTF1,25909,21.8104,19.9723,21.1579,23.1361,18.3243,18.1448,5.15151,NA,NA,NA,NA
AHCTF1P1,285116,1.26831,1.37196,1.13388,1.28512,0.963404,1.20044,0.530195,NA,NA,NA,NA
AHCY,191,63.3937,59.2369,54.9898,53.5791,59.6702,62.7246,100.815,cerebral-cortex,glial-cells,Medium,Approved
AHCYL1,10768,42.3115,43.9087,45.4317,43.8214,54.7832,53.4693,44.265,NA,NA,NA,NA
AHCYL2,23382,7.36549,5.73639,3.58636,3.56635,4.68516,5.0241,7.27181,NA,NA,NA,NA
AHCYP4,129560,0.147749,0.250135,0.216383,0.0950672,0.250417,0.355736,0.30604,NA,NA,NA,NA
AHDC1,27245,6.02875,7.05309,5.93445,5.09148,7.17037,5.38552,8.36512,cerebral-cortex,glial-cells,Low,Approved
AHI1,54806,14.3552,14.6605,14.3865,9.36562,10.0711,9.38239,1.9451,cerebral-cortex,glial-cells,Medium,Approved
AHNAK,79026,121.299,117.08,102.155,97.9342,106.564,102.285,94.4117,NA,NA,NA,NA
AHNAK2,113146,11.921,11.4973,4.93313,5.39959,17.052,15.2145,32.0502,NA,NA,NA,NA
AHR,196,87.5876,98.1571,12.6887,14.1288,10.875,8.98143,11.2836,cerebral-cortex,glial-cells,Low,Enhanced
AHRR,57491,19.9107,21.1895,7.74987,5.77525,3.98153,2.67787,7.973,NA,NA,NA,NA
AHSA1,10598,317.84,309.04,305.119,280.453,311.87,351.543,398.913,cerebral-cortex,glial-cells,Medium,Supported
AIDA,64853,14.1415,12.7484,13.0193,14.6478,18.0932,14.7393,10.3412,NA,NA,NA,NA
AIF1L,83543,0.246592,0.0903675,0.470222,0.517407,0.213951,0,0.504338,NA,NA,NA,NA
AIFM1,9131,18.9262,18.0693,16.6885,18.7269,19.7682,15.6832,24.5014,NA,NA,NA,NA
AIFM2,84883,4.69838,3.82764,2.84115,2.12657,5.23344,5.46807,3.91227,NA,NA,NA,NA
AIG1,51390,21.5425,23.606,45.4299,46.7085,43.4874,38.7905,47.2137,NA,NA,NA,NA
AIMP1,9255,39.0244,38.3327,44.7053,43.2428,40.4649,39.5844,26.0726,cerebral-cortex,glial-cells,Medium,Supported
AIMP2,7965,25.2006,21.7936,22.7236,22.5187,21.5379,21.0653,31.603,cerebral-cortex,glial-cells,Low,Supported
AIP,9049,33.1767,34.8465,35.1385,23.4268,28.8507,30.1931,32.5734,cerebral-cortex,glial-cells,Medium,Approved
AIRE,326,0,0,0.00838772,0,0.0631474,0,0,NA,NA,NA,NA
AJUBA,84962,35.1527,29.9985,39.5356,39.5248,41.5422,25.4699,57.8739,NA,NA,NA,NA
AK1,203,106.616,105.924,92.9488,76.2862,133.237,158.777,206.801,NA,NA,NA,NA
AK2,204,61.8033,62.5409,70.8054,66.5468,87.3677,99.7216,115.565,NA,NA,NA,NA
AK2P2,339736,0.322887,0.170825,0.33777,0,0,0.243014,0,NA,NA,NA,NA
AK3,50808,28.3267,25.9774,15.4766,15.9932,21.2135,23.7796,30.9587,NA,NA,NA,NA
AK3P2,100419074,0.288941,0.152871,0,0.154892,0,0.434914,0.373968,NA,NA,NA,NA
AK3P3,100419075,0.284506,0.150495,0.520795,0.83882,0.200917,0.535133,0.36824,NA,NA,NA,NA
AK3P5,100288319,0.725163,1.64412,3.03334,3.22038,2.0481,4.36421,0.40245,NA,NA,NA,NA
AK4,205,2.79139,2.60741,4.26864,5.78921,4.72011,6.97619,3.61519,cerebral-cortex,glial-cells,Medium,Enhanced
AK4P1,206,2.26102,2.31765,3.17828,2.80332,2.89434,5.63581,2.46952,NA,NA,NA,NA
AK5,26289,9.49457,9.71679,10.0267,8.85537,36.6641,29.2256,83.995,NA,NA,NA,NA
AK8,158067,0.105559,0.121009,0.110425,0.368387,0.0924953,0.171698,0.741466,NA,NA,NA,NA
AK9,221264,1.55106,0.982898,1.39317,1.08732,1.66921,1.87866,0.774516,cerebral-cortex,glial-cells,High,Enhanced
AKAP1,8165,10.1756,10.8928,9.41099,8.86588,8.75237,6.73158,7.47629,cerebral-cortex,glial-cells,High,Supported
AKAP10,11216,17.0694,14.3984,14.3704,12.2848,14.5819,19.4909,12.6612,cerebral-cortex,glial-cells,Medium,Approved
AKAP11,11215,5.31729,5.81273,5.10859,6.3277,5.49946,5.56862,1.69361,NA,NA,NA,NA
AKAP12,9590,117.051,101.125,58.6669,61.9428,26.1332,32.838,7.72746,NA,NA,NA,NA
AKAP13,11214,27.3032,34.2598,27.6473,28.3326,25.3136,17.8296,13.6415,cerebral-cortex,glial-cells,Medium,Approved
AKAP17A,8227,18.4215,16.3731,15.5262,14.3489,13.8177,14.0086,14.685,cerebral-cortex,glial-cells,Medium,Supported
AKAP3,10566,0.0941722,0.341335,0.343434,0.164003,0.142366,0.24801,0.245732,NA,NA,NA,NA
AKAP5,9495,1.09713,1.0308,0.776068,0.57439,0.522848,0.57866,0.142661,cerebral-cortex,glial-cells,Low,Enhanced
AKAP6,9472,0.501324,0.182562,0.433025,0.745454,0.638151,0.387246,0.525507,NA,NA,NA,NA
AKAP7,9465,1.22884,1.17182,1.00023,0.99484,0.939933,1.98282,2.46087,NA,NA,NA,NA
AKAP8,10270,15.6113,14.4441,12.8909,13.7038,11.3754,13.6157,11.731,cerebral-cortex,glial-cells,Medium,Supported
AKAP8L,26993,42.5153,46.2047,46.2187,41.9623,45.4562,50.5251,66.4069,cerebral-cortex,glial-cells,High,Enhanced
AKAP9,10142,2.70224,5.10644,6.3413,7.64367,5.06606,7.56149,0.834211,cerebral-cortex,glial-cells,Medium,Supported
AKIP1,56672,30.0347,29.3291,37.2026,33.696,40.8801,41.1144,69.7789,NA,NA,NA,NA
AKIRIN1,79647,72.5747,64.7185,66.9169,68.7646,81.9262,76.5767,101.629,cerebral-cortex,glial-cells,Low,Approved
AKIRIN2,55122,22.1231,23.7694,19.8024,24.2377,16.1465,17.8174,21.3195,NA,NA,NA,NA
AKNA,80709,4.79787,9.98123,7.62222,6.43035,2.32572,3.50489,3.17183,NA,NA,NA,NA
AKNAD1,254268,0.136505,0,0.173096,0.088715,0.345197,0.500685,0.21419,NA,NA,NA,NA
AKR1A1,10327,126.458,114.903,96.3836,104.301,120.211,136.137,159.578,NA,NA,NA,NA
AKR1B1,231,66.7188,64.3808,65.1981,62.4106,85.0152,93.7324,148.5,NA,NA,NA,NA
AKR1B10,57016,0.767589,0.637864,0.804988,0.498594,0.87148,1.04485,2.8895,NA,NA,NA,NA
AKR1B1P6,100129769,0.206411,0.218405,0.377869,0.110672,0.364437,0.388282,0.133603,NA,NA,NA,NA
AKR1B1P7,126242,0.616171,0.186279,0.644572,1.13273,0.37299,0,0.398834,NA,NA,NA,NA
AKR1C1,1645,0.298818,0.210543,0.889026,1.43916,0.141559,0.301651,0.71368,NA,NA,NA,NA
AKR1E2,83592,0.964004,1.28795,1.77446,0.873392,1.01051,0.694409,0.0312146,cerebral-cortex,glial-cells,Low,Enhanced
AKR7A2,8574,28.3125,30.2252,26.4565,24.1456,37.1077,38.9216,43.9192,cerebral-cortex,glial-cells,Medium,Enhanced
AKR7A2P1,246182,0.184437,0.292727,0.337637,0.296669,0.325797,0.0694932,0.179072,NA,NA,NA,NA
AKR7A3,22977,0.327207,0.184651,0.29665,0.163754,0.154047,0.262602,0.112962,NA,NA,NA,NA
AKR7L,246181,0.110765,0.324586,0.330887,0.19798,0.13466,0.166678,0.270972,NA,NA,NA,NA
AKT1,207,210.879,193.317,168.811,147.158,170.812,192.751,219.025,cerebral-cortex,glial-cells,Medium,Supported
AKT1S1,84335,44.715,38.7773,41.7254,41.7443,52.0972,56.5138,82.832,NA,NA,NA,NA
AKT2,208,98.3974,90.3291,105.488,90.5267,102.354,92.4636,100.088,NA,NA,NA,NA
AKT3,10000,17.5684,20.189,24.1153,22.8094,18.7588,19.0676,9.63428,cerebral-cortex,glial-cells,High,Approved
AKTIP,64400,9.6577,10.8194,9.44343,7.41815,13.7351,16.3082,11.3307,cerebral-cortex,glial-cells,Low,Approved
ALAD,210,13.0351,13.2977,11.3901,8.63504,18.0167,19.7536,16.1157,cerebral-cortex,glial-cells,Low,Enhanced
ALAS1,211,19.1111,20.6383,19.3673,20.3678,22.8985,19.7638,27.4892,cerebral-cortex,glial-cells,Medium,Enhanced
ALCAM,214,82.4703,83.2248,121.684,124.813,110.513,91.7188,42.9075,NA,NA,NA,NA
ALDH16A1,126133,11.1501,7.5458,7.35166,12.2708,4.9161,8.00239,9.11993,cerebral-cortex,glial-cells,Low,Approved
ALDH18A1,5832,97.9253,90.7637,72.6415,62.9737,75.9487,82.8427,103.844,NA,NA,NA,NA
ALDH1A3,220,2.5975,1.2446,1.22775,1.28916,0.0645038,0.133944,0.517567,NA,NA,NA,NA
ALDH1B1,219,14.1885,12.0104,49.2147,44.614,28.9797,31.429,30.179,cerebral-cortex,glial-cells,Medium,Approved
ALDH1L2,160428,34.9174,33.9993,40.1216,39.3449,18.6389,19.9622,12.929,cerebral-cortex,glial-cells,Medium,Approved
ALDH2,217,39.6804,46.6374,34.1471,34.2831,32.3261,30.3524,40.2436,NA,NA,NA,NA
ALDH3A2,224,20.2721,21.989,14.724,18.1938,13.5504,12.5979,22.054,NA,NA,NA,NA
ALDH3B1,221,4.66551,4.9386,5.06,4.42206,5.05422,6.49836,7.615,NA,NA,NA,NA
ALDH4A1,8659,5.90139,5.27649,5.25689,3.78905,8.22609,8.59005,10.5901,cerebral-cortex,glial-cells,Medium,Enhanced
ALDH5A1,7915,1.083,1.41858,1.25334,1.84466,0.517661,0.297405,2.52482,cerebral-cortex,glial-cells,Low,Enhanced
ALDH6A1,4329,3.38347,2.77467,2.53236,2.36406,2.63818,2.3483,4.16498,cerebral-cortex,glial-cells,High,Enhanced
ALDH7A1,501,58.1112,63.2247,43.8104,38.1713,30.3829,27.2369,28.5536,cerebral-cortex,glial-cells,Medium,Enhanced
ALDH7A1P1,541,2.81727,1.93502,1.91305,3.25978,2.12915,2.23128,1.37575,NA,NA,NA,NA
ALDH8A1,64577,0.28457,0.17141,0.335716,0.364028,0.655392,0.24347,0.627162,NA,NA,NA,NA
ALDH9A1,223,27.4196,26.3862,36.5752,36.1351,56.7758,54.2071,62.4616,cerebral-cortex,glial-cells,Medium,Approved
ALDOA,226,1465.66,1343.73,1789.68,1750.58,3091.66,3632.39,3503.78,NA,NA,NA,NA
ALDOAP1,391538,0.150148,0.278027,0.117802,0.120761,0.212073,0.338924,0.485944,NA,NA,NA,NA
ALDOAP2,228,0.413851,0.477708,0.590354,0.363113,1.22221,1.41541,0.730582,NA,NA,NA,NA
ALDOC,230,4.79996,5.40778,16.4631,17.0466,34.4992,42.5405,21.792,cerebral-cortex,glial-cells,Medium,Enhanced
ALG1,56052,21.1497,22.6867,19.5059,22.3894,27.215,28.292,37.5245,cerebral-cortex,glial-cells,Low,Approved
ALG10,84920,0.532984,0.470016,0.836225,0.952303,0.501075,0.401644,0.114916,cerebral-cortex,glial-cells,Medium,Approved
ALG10B,144245,0.132752,0.272578,0.654938,0.144044,0,0,0,cerebral-cortex,glial-cells,Medium,Approved
ALG11,440138,5.94589,5.83069,5.60742,6.5788,5.40979,5.77621,5.03881,NA,NA,NA,NA
ALG12,79087,13.4359,11.9387,12.4689,12.2069,12.5056,12.6167,14.9938,NA,NA,NA,NA
ALG13,79868,28.4704,28.5161,35.6787,32.3716,27.3993,43.2687,20.5097,cerebral-cortex,glial-cells,Low,Approved
ALG14,199857,7.2685,8.26624,8.3888,9.697,9.97188,8.6324,7.30737,NA,NA,NA,NA
ALG1L13P,106479038,0.329737,0.194138,0.246424,0.408437,0,0.879576,0.33572,NA,NA,NA,NA
ALG1L15P,730086,1.99871,1.29241,0.696947,1.30979,1.80368,4.0105,1.36556,NA,NA,NA,NA
ALG1L6P,339879,0.258443,0.32304,0.247336,0.253538,0.33397,0.0925537,1.01181,NA,NA,NA,NA
ALG1L9P,285407,0.698117,0.527615,1.07706,0.709997,0.144196,0.495444,1.25787,NA,NA,NA,NA
ALG2,85365,25.8448,27.8737,25.0842,26.971,24.8189,23.8146,33.1174,NA,NA,NA,NA
ALG3,10195,30.0524,28.4278,34.7079,30.2911,33.1651,37.6005,49.1916,cerebral-cortex,glial-cells,Low,Approved
ALG5,29880,22.9409,24.3941,23.3126,23.0606,24.3945,26.3445,26.1592,NA,NA,NA,NA
ALG6,29929,1.55649,2.2627,2.13772,2.2256,2.27404,1.97462,1.66722,NA,NA,NA,NA
ALG8,79053,38.251,38.4205,53.7253,51.2127,54.7177,42.8684,52.6182,cerebral-cortex,glial-cells,Low,Approved
ALKBH1,8846,7.46757,7.8391,7.9142,9.07896,8.71911,6.29949,11.6816,cerebral-cortex,glial-cells,Medium,Approved
ALKBH2,121642,11.0037,14.3127,10.6666,8.25805,6.44436,6.58505,2.94421,cerebral-cortex,glial-cells,Low,Approved
ALKBH3,221120,29.7922,28.2542,32.4148,32.1407,21.8144,31.0668,2.76365,NA,NA,NA,NA
ALKBH3-AS1,100507300,0.62899,0.418784,0.458835,0.550027,0.134453,0.290688,0.246414,NA,NA,NA,NA
ALKBH4,54784,5.94591,6.45626,7.01719,5.03669,5.67166,6.55522,6.65269,cerebral-cortex,glial-cells,Low,Approved
ALKBH5,54890,25.7181,28.231,21.7657,22.6653,28.3242,32.1198,46.1327,cerebral-cortex,glial-cells,High,Approved
ALKBH6,84964,14.705,16.5466,15.4823,12.7555,34.7708,40.1932,42.2013,NA,NA,NA,NA
ALKBH7,84266,33.1098,39.0659,30.0365,28.7447,28.3449,33.0748,34.6011,NA,NA,NA,NA
ALKBH8,91801,4.73901,4.15769,4.97625,5.65771,3.88316,4.27908,1.44968,cerebral-cortex,glial-cells,Low,Approved
ALMS1,7840,4.50557,5.15289,6.85312,11.875,1.72324,1.80994,1.34526,NA,NA,NA,NA
ALOX12,239,0.689606,0.453766,1.20943,0.75917,0.216415,0.319352,0.50188,NA,NA,NA,NA
ALOX5AP,241,0.378411,0.5005,7.12535,8.36943,1.53666,1.92193,0.857273,cerebral-cortex,glial-cells,Low,Enhanced
ALPK1,80216,2.99093,1.88132,1.66876,2.64553,1.17382,0.898318,1.07006,NA,NA,NA,NA
ALPK2,115701,8.97048,9.62438,38.99,35.0438,23.6672,27.1202,14.8393,NA,NA,NA,NA
ALPK3,57538,0.345092,0.120247,0.356207,0.246303,2.22966,3.19419,0.163037,NA,NA,NA,NA
ALPL,249,30.9477,26.3289,1.2604,0.961822,0.435475,0.92983,0.648115,NA,NA,NA,NA
ALS2,57679,17.7204,16.9178,14.2161,15.0627,22.1535,18.8956,18.4397,NA,NA,NA,NA
ALS2CL,259173,1.46255,1.06152,2.5182,1.60172,7.27345,5.23705,7.21789,NA,NA,NA,NA
ALX1,8092,2.67259,3.30388,0.027681,0,1.08384,1.35385,0,NA,NA,NA,NA
ALYREF,10189,206.769,191.648,205.048,199.16,132.622,108.195,158.59,cerebral-cortex,glial-cells,High,Supported
AMACR,23600,9.91295,8.62843,8.99318,9.14185,7.89669,7.86309,13.8985,NA,NA,NA,NA
AMBRA1,55626,7.18192,7.49246,10.2323,9.062,7.94205,6.71182,11.3958,cerebral-cortex,glial-cells,Low,Approved
AMD1,262,45.3529,43.4013,43.7469,50.8803,38.3916,39.841,24.6378,NA,NA,NA,NA
AMDHD2,51005,15.5451,11.5794,12.0164,12.2938,16.2497,11.6814,11.3117,NA,NA,NA,NA
AMER1,139285,1.24195,1.25902,1.14051,1.07069,0.726066,0.843097,1.01858,cerebral-cortex,glial-cells,High,Approved
AMFR,267,71.0559,69.7897,70.9326,74.1824,100.657,99.6568,146.25,cerebral-cortex,glial-cells,Medium,Approved
AMH,268,2.07342,0.949734,1.1327,0.731494,0.916351,1.43559,0.452587,NA,NA,NA,NA
AMIGO1,57463,0.536858,0.501634,0.597524,0.476719,1.56489,2.02892,2.33547,cerebral-cortex,glial-cells,Low,Approved
AMIGO2,347902,25.5444,24.131,176.486,149.501,258.466,254.543,168.435,NA,NA,NA,NA
AMIGO3,386724,1.9875,2.36017,2.42351,1.85833,1.57917,0.9966,1.83151,NA,NA,NA,NA
AMMECR1,9949,4.41218,3.66661,3.64305,3.95679,4.32989,4.2102,2.42049,NA,NA,NA,NA
AMMECR1L,83607,9.99244,9.00813,10.3516,10.9327,9.30803,9.78997,11.734,NA,NA,NA,NA
AMN,81693,0.0559275,0.148944,0.0188188,0.171609,0.0817535,0.2575,0.120962,NA,NA,NA,NA
AMN1,196394,2.68087,4.01295,4.12253,5.31233,10.4848,5.46,5.54583,NA,NA,NA,NA
AMOT,154796,1.33337,1.99318,1.27999,1.38152,3.06089,2.53013,0.976231,NA,NA,NA,NA
AMOTL1,154810,26.8327,29.8968,21.231,23.7312,15.4809,12.5352,21.5253,NA,NA,NA,NA
AMOTL2,51421,68.7334,55.2725,78.3901,66.2485,86.0435,85.111,92.3701,NA,NA,NA,NA
AMPD2,271,94.7942,89.6683,120.818,93.4827,110.994,111.469,114.328,cerebral-cortex,glial-cells,Low,Approved
AMPD3,272,1.97288,2.62746,5.10659,5.99869,12.0969,10.4286,17.0345,NA,NA,NA,NA
AMPH,273,0.0111831,0.150167,10.7763,9.48754,0,0.0673174,0.145716,cerebral-cortex,glial-cells,Medium,Enhanced
AMT,275,7.40543,6.27307,4.49216,3.23154,5.57749,4.27359,2.48928,cerebral-cortex,glial-cells,Low,Supported
