gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
TOLLIP	cerebral-cortex	glial-cells	Medium	Enhanced
THOC1	cerebral-cortex	glial-cells	Medium	Enhanced
SLC1A3	cerebral-cortex	glial-cells	Medium	Enhanced
XRCC5	cerebral-cortex	glial-cells	High	Supported
LXN	cerebral-cortex	glial-cells	Medium	Approved
MKNK1	cerebral-cortex	glial-cells	Medium	Approved
TNS1	cerebral-cortex	glial-cells	Low	Approved
REXO1	cerebral-cortex	glial-cells	Medium	Approved
SAR1A	cerebral-cortex	glial-cells	Medium	Supported
CDC14A	cerebral-cortex	glial-cells	Low	Approved
RAPGEF3	cerebral-cortex	glial-cells	Medium	Approved
CIC	cerebral-cortex	glial-cells	High	Approved
CARMIL1	cerebral-cortex	glial-cells	Medium	Enhanced
DDX1	cerebral-cortex	glial-cells	High	Enhanced
DNM2	cerebral-cortex	glial-cells	Low	Supported
EPB41L2	cerebral-cortex	glial-cells	Low	Supported
RIMS1	cerebral-cortex	glial-cells	Medium	Enhanced
KEAP1	cerebral-cortex	glial-cells	High	Approved
SLC35C2	cerebral-cortex	glial-cells	Low	Approved
RIF1	cerebral-cortex	glial-cells	Medium	Supported
RAB21	cerebral-cortex	glial-cells	Medium	Approved
SMARCA2	cerebral-cortex	glial-cells	High	Enhanced
PUM3	cerebral-cortex	glial-cells	Medium	Approved
CHRNA3	cerebral-cortex	glial-cells	Low	Approved
CNOT4	cerebral-cortex	glial-cells	High	Approved
PSEN1	cerebral-cortex	glial-cells	Medium	Approved
CLDND1	cerebral-cortex	glial-cells	Low	Approved
DLGAP4	cerebral-cortex	glial-cells	Low	Approved
RSBN1	cerebral-cortex	glial-cells	Low	Approved
PCNP	cerebral-cortex	glial-cells	Medium	Supported
MEF2C	cerebral-cortex	glial-cells	Low	Enhanced
CDC14B	cerebral-cortex	glial-cells	Low	Approved
PCDHB4	cerebral-cortex	glial-cells	Low	Approved
PCDHGA2	cerebral-cortex	glial-cells	Low	Approved
ATP8B1	cerebral-cortex	glial-cells	Medium	Enhanced
ME2	cerebral-cortex	glial-cells	Medium	Enhanced
C5orf22	cerebral-cortex	glial-cells	Low	Approved
CCNT2	cerebral-cortex	glial-cells	High	Supported
FAM135A	cerebral-cortex	glial-cells	Medium	Approved
EPB41L3	cerebral-cortex	glial-cells	Low	Enhanced
OPRK1	cerebral-cortex	glial-cells	Low	Enhanced
NFE2L1	cerebral-cortex	glial-cells	Low	Approved
GSK3B	cerebral-cortex	glial-cells	Medium	Approved
ITGB5	cerebral-cortex	glial-cells	Low	Approved
XPO1	cerebral-cortex	glial-cells	Low	Supported
RNF13	cerebral-cortex	glial-cells	Low	Approved
PALB2	cerebral-cortex	glial-cells	High	Approved
KAT6A	cerebral-cortex	glial-cells	Medium	Supported
ZCCHC6	cerebral-cortex	glial-cells	Medium	Approved
ULK2	cerebral-cortex	glial-cells	Medium	Approved
TNPO1	cerebral-cortex	glial-cells	High	Approved
DIS3	cerebral-cortex	glial-cells	Medium	Approved
PIBF1	cerebral-cortex	glial-cells	Low	Approved
TDRD3	cerebral-cortex	glial-cells	High	Approved
PDS5B	cerebral-cortex	glial-cells	High	Supported
OXCT1	cerebral-cortex	glial-cells	Low	Enhanced
RPS5	cerebral-cortex	glial-cells	Low	Enhanced
FAT1	cerebral-cortex	glial-cells	Low	Enhanced
YTHDC1	cerebral-cortex	glial-cells	Medium	Supported
PPIE	cerebral-cortex	glial-cells	High	Approved
ZMPSTE24	cerebral-cortex	glial-cells	Medium	Approved
STARD7	cerebral-cortex	glial-cells	Medium	Supported
REST	cerebral-cortex	glial-cells	Low	Supported
GSTP1	cerebral-cortex	glial-cells	Low	Enhanced
APLP2	cerebral-cortex	glial-cells	Medium	Approved
WBP11	cerebral-cortex	glial-cells	Low	Approved
EIF3I	cerebral-cortex	glial-cells	High	Enhanced
TXLNA	cerebral-cortex	glial-cells	Medium	Supported
NCOA1	cerebral-cortex	glial-cells	High	Supported
RAB10	cerebral-cortex	glial-cells	Low	Approved
HADHA	cerebral-cortex	glial-cells	Low	Approved
ATRX	cerebral-cortex	glial-cells	High	Supported
AK6	cerebral-cortex	glial-cells	Medium	Supported
MECOM	cerebral-cortex	glial-cells	Medium	Supported
WDR47	cerebral-cortex	glial-cells	Low	Approved
RRN3	cerebral-cortex	glial-cells	Low	Supported
CTTN	cerebral-cortex	glial-cells	Low	Supported
DDHD2	cerebral-cortex	glial-cells	Low	Supported
EPS15	cerebral-cortex	glial-cells	Medium	Approved
ORC1	cerebral-cortex	glial-cells	High	Approved
POMGNT1	cerebral-cortex	glial-cells	Low	Approved
MAST2	cerebral-cortex	glial-cells	Low	Approved
DNAJA1	cerebral-cortex	glial-cells	Low	Approved
NFX1	cerebral-cortex	glial-cells	High	Approved
DIMT1	cerebral-cortex	glial-cells	Medium	Approved
IPO11	cerebral-cortex	glial-cells	Medium	Approved
EIF2AK1	cerebral-cortex	glial-cells	Low	Approved
EPDR1	cerebral-cortex	glial-cells	High	Approved
SNX10	cerebral-cortex	glial-cells	Low	Approved
SEPHS1	cerebral-cortex	glial-cells	Low	Enhanced
MRPL28	cerebral-cortex	glial-cells	Low	Supported
ITPKC	cerebral-cortex	glial-cells	Medium	Approved
RBM22	cerebral-cortex	glial-cells	High	Supported
TMED2	cerebral-cortex	glial-cells	Low	Approved
HUWE1	cerebral-cortex	glial-cells	Low	Approved
ZW10	cerebral-cortex	glial-cells	Medium	Enhanced
ALG9	cerebral-cortex	glial-cells	Medium	Approved
HSD17B14	cerebral-cortex	glial-cells	Low	Approved
TRIP6	cerebral-cortex	glial-cells	Medium	Approved
FTL	cerebral-cortex	glial-cells	High	Enhanced
SRRT	cerebral-cortex	glial-cells	Medium	Supported
BAX	cerebral-cortex	glial-cells	Low	Approved
NLK	cerebral-cortex	glial-cells	Medium	Approved
PIGS	cerebral-cortex	glial-cells	Low	Approved
ATXN7L3	cerebral-cortex	glial-cells	High	Supported
PGS1	cerebral-cortex	glial-cells	Medium	Approved
PSMC5	cerebral-cortex	glial-cells	Medium	Enhanced
MT3	cerebral-cortex	glial-cells	High	Enhanced
LPCAT2	cerebral-cortex	glial-cells	Low	Enhanced
SH3BP2	cerebral-cortex	glial-cells	Low	Approved
ADD1	cerebral-cortex	glial-cells	Low	Enhanced
TXNDC16	cerebral-cortex	glial-cells	Medium	Approved
RTRAF	cerebral-cortex	glial-cells	High	Supported
SF3B2	cerebral-cortex	glial-cells	High	Supported
DNM1L	cerebral-cortex	glial-cells	High	Supported
CNOT3	cerebral-cortex	glial-cells	Medium	Approved
KHSRP	cerebral-cortex	glial-cells	High	Supported
TPX2	cerebral-cortex	glial-cells	Low	Enhanced
EPB41L1	cerebral-cortex	glial-cells	Low	Enhanced
TGDS	cerebral-cortex	glial-cells	Low	Approved
KIF9	cerebral-cortex	glial-cells	Low	Approved
PPP1R13B	cerebral-cortex	glial-cells	High	Approved
SMOX	cerebral-cortex	glial-cells	Medium	Approved
ZNF343	cerebral-cortex	glial-cells	Low	Approved
MAVS	cerebral-cortex	glial-cells	High	Enhanced
LZTS3	cerebral-cortex	glial-cells	Low	Approved
XRN2	cerebral-cortex	glial-cells	High	Supported
TESC	cerebral-cortex	glial-cells	Low	Enhanced
MAPKAPK5	cerebral-cortex	glial-cells	Medium	Supported
P2RX7	cerebral-cortex	glial-cells	Medium	Approved
ESF1	cerebral-cortex	glial-cells	Medium	Supported
RBBP9	cerebral-cortex	glial-cells	Medium	Approved
ANAPC5	cerebral-cortex	glial-cells	High	Supported
SLC8B1	cerebral-cortex	glial-cells	Low	Approved
GCN1	cerebral-cortex	glial-cells	Low	Enhanced
RPLP0	cerebral-cortex	glial-cells	Low	Approved
PXN	cerebral-cortex	glial-cells	Medium	Supported
KIF16B	cerebral-cortex	glial-cells	Low	Approved
PEBP1	cerebral-cortex	glial-cells	Low	Enhanced
BRAP	cerebral-cortex	glial-cells	Medium	Approved
ERP29	cerebral-cortex	glial-cells	Medium	Enhanced
FUS	cerebral-cortex	glial-cells	High	Supported
IGBP1	cerebral-cortex	glial-cells	Low	Approved
HEPH	cerebral-cortex	glial-cells	Low	Approved
CDIP1	cerebral-cortex	glial-cells	Low	Approved
GANAB	cerebral-cortex	glial-cells	Low	Enhanced
GMIP	cerebral-cortex	glial-cells	Low	Enhanced
MLF2	cerebral-cortex	glial-cells	Medium	Enhanced
DHX32	cerebral-cortex	glial-cells	Low	Approved
RCOR1	cerebral-cortex	glial-cells	High	Supported
GPATCH2L	cerebral-cortex	glial-cells	Low	Approved
SPTLC1	cerebral-cortex	glial-cells	Medium	Supported
PAPOLA	cerebral-cortex	glial-cells	Medium	Supported
CCNK	cerebral-cortex	glial-cells	High	Supported
NUDC	cerebral-cortex	glial-cells	Medium	Enhanced
STRN4	cerebral-cortex	glial-cells	Low	Supported
TFAP4	cerebral-cortex	glial-cells	Medium	Supported
SPG21	cerebral-cortex	glial-cells	Low	Approved
DNAJB11	cerebral-cortex	glial-cells	Low	Supported
GNPTG	cerebral-cortex	glial-cells	Medium	Approved
ZNF268	cerebral-cortex	glial-cells	Low	Approved
GOLGA3	cerebral-cortex	glial-cells	Low	Enhanced
PABPC4	cerebral-cortex	glial-cells	Medium	Approved
USP48	cerebral-cortex	glial-cells	Medium	Approved
AARS	cerebral-cortex	glial-cells	Low	Supported
GLG1	cerebral-cortex	glial-cells	Low	Supported
KIF4A	cerebral-cortex	glial-cells	Low	Approved
TNRC6A	cerebral-cortex	glial-cells	Low	Approved
RBM27	cerebral-cortex	glial-cells	Medium	Approved
NRCAM	cerebral-cortex	glial-cells	Low	Approved
DLD	cerebral-cortex	glial-cells	Medium	Supported
TXNL1	cerebral-cortex	glial-cells	Low	Supported
CMTM6	cerebral-cortex	glial-cells	Low	Approved
RAPGEF4	cerebral-cortex	glial-cells	Medium	Approved
FH	cerebral-cortex	glial-cells	Low	Enhanced
ALKBH5	cerebral-cortex	glial-cells	High	Approved
ZC3HC1	cerebral-cortex	glial-cells	Medium	Enhanced
CD200	cerebral-cortex	glial-cells	Medium	Approved
PSME1	cerebral-cortex	glial-cells	Low	Approved
PPP2R3C	cerebral-cortex	glial-cells	Low	Approved
HAUS4	cerebral-cortex	glial-cells	Medium	Approved
RNF31	cerebral-cortex	glial-cells	Low	Approved
SCFD1	cerebral-cortex	glial-cells	Low	Approved
HECTD1	cerebral-cortex	glial-cells	Low	Approved
HNRNPC	cerebral-cortex	glial-cells	High	Supported
SUPT16H	cerebral-cortex	glial-cells	Low	Enhanced
TOX4	cerebral-cortex	glial-cells	Medium	Approved
SEMA6A	cerebral-cortex	glial-cells	Medium	Approved
TYRO3	cerebral-cortex	glial-cells	Low	Approved
PHGDH	cerebral-cortex	glial-cells	High	Enhanced
EZR	cerebral-cortex	glial-cells	Medium	Enhanced
TEKT2	cerebral-cortex	glial-cells	Low	Approved
RFFL	cerebral-cortex	glial-cells	Medium	Approved
NUP50	cerebral-cortex	glial-cells	Medium	Enhanced
COMT	cerebral-cortex	glial-cells	Low	Enhanced
CDC6	cerebral-cortex	glial-cells	Low	Approved
CDC23	cerebral-cortex	glial-cells	Low	Approved
AAAS	cerebral-cortex	glial-cells	Low	Approved
CBX5	cerebral-cortex	glial-cells	Low	Enhanced
MSH2	cerebral-cortex	glial-cells	High	Approved
MAP3K1	cerebral-cortex	glial-cells	Low	Approved
HOOK2	cerebral-cortex	glial-cells	Low	Approved
ARCN1	cerebral-cortex	glial-cells	High	Approved
PTGS1	cerebral-cortex	glial-cells	Medium	Enhanced
NUP188	cerebral-cortex	glial-cells	Low	Approved
BLNK	cerebral-cortex	glial-cells	Low	Enhanced
SORBS1	cerebral-cortex	glial-cells	Low	Enhanced
WAC	cerebral-cortex	glial-cells	Medium	Approved
HIVEP1	cerebral-cortex	glial-cells	Low	Approved
TREM2	cerebral-cortex	glial-cells	Medium	Approved
FKBP5	cerebral-cortex	glial-cells	Medium	Enhanced
SRPK1	cerebral-cortex	glial-cells	Low	Approved
TMEM14A	cerebral-cortex	glial-cells	Low	Approved
EFHC1	cerebral-cortex	glial-cells	Medium	Approved
HSP90AB1	cerebral-cortex	glial-cells	Medium	Enhanced
CDC5L	cerebral-cortex	glial-cells	High	Supported
ITPR3	cerebral-cortex	glial-cells	Low	Approved
ABL1	cerebral-cortex	glial-cells	Low	Supported
ACOT7	cerebral-cortex	glial-cells	Low	Enhanced
SCD	cerebral-cortex	glial-cells	Medium	Approved
ABLIM1	cerebral-cortex	glial-cells	Low	Approved
NRP1	cerebral-cortex	glial-cells	Low	Approved
H2AFY2	cerebral-cortex	glial-cells	Medium	Enhanced
WASHC2A	cerebral-cortex	glial-cells	Medium	Supported
MZF1	cerebral-cortex	glial-cells	High	Approved
MYO9B	cerebral-cortex	glial-cells	Medium	Approved
PSMD8	cerebral-cortex	glial-cells	Medium	Supported
SETD1A	cerebral-cortex	glial-cells	Medium	Enhanced
HNRNPM	cerebral-cortex	glial-cells	High	Supported
MARCH2	cerebral-cortex	glial-cells	Medium	Approved
CDC34	cerebral-cortex	glial-cells	Medium	Approved
POLR2E	cerebral-cortex	glial-cells	High	Supported
GADD45B	cerebral-cortex	glial-cells	Medium	Approved
MKNK2	cerebral-cortex	glial-cells	Medium	Supported
TRMT2A	cerebral-cortex	glial-cells	Medium	Approved
MED15	cerebral-cortex	glial-cells	Medium	Approved
SNAP29	cerebral-cortex	glial-cells	Low	Supported
CECR2	cerebral-cortex	glial-cells	High	Approved
SMARCB1	cerebral-cortex	glial-cells	Low	Supported
SLC7A4	cerebral-cortex	glial-cells	Medium	Enhanced
CABIN1	cerebral-cortex	glial-cells	Low	Approved
TBC1D10A	cerebral-cortex	glial-cells	Low	Approved
SF3A1	cerebral-cortex	glial-cells	High	Enhanced
RNF215	cerebral-cortex	glial-cells	Low	Approved
PPIL2	cerebral-cortex	glial-cells	Medium	Supported
SNRPD3	cerebral-cortex	glial-cells	Medium	Supported
MAPK1	cerebral-cortex	glial-cells	Medium	Approved
PRODH	cerebral-cortex	glial-cells	Medium	Approved
ESS2	cerebral-cortex	glial-cells	High	Enhanced
MFNG	cerebral-cortex	glial-cells	Low	Approved
CARD10	cerebral-cortex	glial-cells	Medium	Approved
HIRA	cerebral-cortex	glial-cells	Medium	Enhanced
SH3BP1	cerebral-cortex	glial-cells	Medium	Supported
HPS4	cerebral-cortex	glial-cells	Low	Approved
PATZ1	cerebral-cortex	glial-cells	High	Approved
ANKRD54	cerebral-cortex	glial-cells	Low	Approved
POLR2F	cerebral-cortex	glial-cells	Medium	Supported
SOX10	cerebral-cortex	glial-cells	Medium	Enhanced
PICK1	cerebral-cortex	glial-cells	Low	Approved
CENPM	cerebral-cortex	glial-cells	Low	Enhanced
SEPT3	cerebral-cortex	glial-cells	Low	Enhanced
DDX17	cerebral-cortex	glial-cells	Low	Supported
TOMM22	cerebral-cortex	glial-cells	High	Supported
RTCB	cerebral-cortex	glial-cells	Medium	Supported
SUN2	cerebral-cortex	glial-cells	High	Supported
CYB5R3	cerebral-cortex	glial-cells	Medium	Approved
AP1B1	cerebral-cortex	glial-cells	Low	Approved
TOM1	cerebral-cortex	glial-cells	Low	Approved
MCAT	cerebral-cortex	glial-cells	Medium	Approved
MCM5	cerebral-cortex	glial-cells	Low	Enhanced
ARSA	cerebral-cortex	glial-cells	Medium	Enhanced
CBX7	cerebral-cortex	glial-cells	Low	Enhanced
PDGFB	cerebral-cortex	glial-cells	Low	Supported
ZMAT5	cerebral-cortex	glial-cells	Medium	Approved
RBFOX2	cerebral-cortex	glial-cells	Medium	Approved
TAB1	cerebral-cortex	glial-cells	Low	Approved
ASCC2	cerebral-cortex	glial-cells	Medium	Approved
SAMM50	cerebral-cortex	glial-cells	Medium	Enhanced
TXN2	cerebral-cortex	glial-cells	Medium	Approved
FOXRED2	cerebral-cortex	glial-cells	Low	Approved
EIF3D	cerebral-cortex	glial-cells	Low	Approved
TNRC6B	cerebral-cortex	glial-cells	Medium	Approved
ST13	cerebral-cortex	glial-cells	Medium	Enhanced
EP300	cerebral-cortex	glial-cells	Low	Supported
RANGAP1	cerebral-cortex	glial-cells	Medium	Supported
PHF5A	cerebral-cortex	glial-cells	High	Supported
ACO2	cerebral-cortex	glial-cells	High	Enhanced
POLR3H	cerebral-cortex	glial-cells	Low	Approved
ZBED4	cerebral-cortex	glial-cells	Medium	Approved
HDAC10	cerebral-cortex	glial-cells	Medium	Supported
FKBP3	cerebral-cortex	glial-cells	Low	Supported
SDR39U1	cerebral-cortex	glial-cells	Medium	Approved
PRMT5	cerebral-cortex	glial-cells	Medium	Approved
AP4S1	cerebral-cortex	glial-cells	Medium	Approved
SOS2	cerebral-cortex	glial-cells	Medium	Approved
PYGL	cerebral-cortex	glial-cells	Low	Enhanced
PSMC6	cerebral-cortex	glial-cells	Medium	Approved
CNIH1	cerebral-cortex	glial-cells	Medium	Approved
ATP6V1D	cerebral-cortex	glial-cells	Low	Enhanced
PIGH	cerebral-cortex	glial-cells	Low	Approved
VTI1B	cerebral-cortex	glial-cells	Medium	Approved
TIMM9	cerebral-cortex	glial-cells	Medium	Approved
GSTZ1	cerebral-cortex	glial-cells	Low	Approved
SAMD15	cerebral-cortex	glial-cells	High	Enhanced
AHSA1	cerebral-cortex	glial-cells	Medium	Supported
ALKBH1	cerebral-cortex	glial-cells	Medium	Approved
SNW1	cerebral-cortex	glial-cells	High	Supported
DHRS7	cerebral-cortex	glial-cells	Medium	Approved
PPM1A	cerebral-cortex	glial-cells	Low	Approved
ERH	cerebral-cortex	glial-cells	Medium	Approved
HIF1A	cerebral-cortex	glial-cells	Low	Supported
SRSF5	cerebral-cortex	glial-cells	Low	Approved
EIF5	cerebral-cortex	glial-cells	Low	Supported
MTHFD1	cerebral-cortex	glial-cells	Medium	Approved
ZC3H14	cerebral-cortex	glial-cells	Low	Enhanced
TELO2	cerebral-cortex	glial-cells	Low	Approved
BDKRB1	cerebral-cortex	glial-cells	Medium	Approved
GSKIP	cerebral-cortex	glial-cells	Low	Approved
PSMC1	cerebral-cortex	glial-cells	Low	Approved
RPS6KA5	cerebral-cortex	glial-cells	High	Approved
PPP4R3A	cerebral-cortex	glial-cells	Medium	Approved
C14orf93	cerebral-cortex	glial-cells	High	Approved
PSMB5	cerebral-cortex	glial-cells	Low	Approved
ACIN1	cerebral-cortex	glial-cells	High	Supported
TRIP11	cerebral-cortex	glial-cells	Medium	Supported
APEX1	cerebral-cortex	glial-cells	Medium	Supported
PABPN1	cerebral-cortex	glial-cells	Medium	Supported
EFS	cerebral-cortex	glial-cells	Medium	Approved
SRP54	cerebral-cortex	glial-cells	Low	Approved
KIAA0391	cerebral-cortex	glial-cells	Medium	Approved
DCAF11	cerebral-cortex	glial-cells	Medium	Approved
PSMA6	cerebral-cortex	glial-cells	Low	Approved
TM9SF1	cerebral-cortex	glial-cells	Low	Supported
PNN	cerebral-cortex	glial-cells	Medium	Supported
PCIF1	cerebral-cortex	glial-cells	Low	Enhanced
PYGB	cerebral-cortex	glial-cells	Medium	Approved
PROCR	cerebral-cortex	glial-cells	Low	Enhanced
UQCC1	cerebral-cortex	glial-cells	Low	Approved
ZMYND8	cerebral-cortex	glial-cells	Medium	Approved
NDRG3	cerebral-cortex	glial-cells	Low	Approved
NFATC2	cerebral-cortex	glial-cells	Low	Enhanced
RIMS4	cerebral-cortex	glial-cells	Low	Approved
STK4	cerebral-cortex	glial-cells	Low	Approved
ADNP	cerebral-cortex	glial-cells	High	Supported
CSTF1	cerebral-cortex	glial-cells	Medium	Supported
PRPF6	cerebral-cortex	glial-cells	Low	Supported
MTG2	cerebral-cortex	glial-cells	Low	Approved
PSMA7	cerebral-cortex	glial-cells	Medium	Approved
TCFL5	cerebral-cortex	glial-cells	Low	Enhanced
DIDO1	cerebral-cortex	glial-cells	High	Supported
GID8	cerebral-cortex	glial-cells	Low	Approved
NKAIN4	cerebral-cortex	glial-cells	Low	Approved
RNF24	cerebral-cortex	glial-cells	Low	Approved
ARFRP1	cerebral-cortex	glial-cells	Low	Approved
CSNK2A1	cerebral-cortex	glial-cells	Medium	Supported
CDS2	cerebral-cortex	glial-cells	Medium	Approved
SAMHD1	cerebral-cortex	glial-cells	Medium	Enhanced
NOP56	cerebral-cortex	glial-cells	Medium	Supported
IDH3B	cerebral-cortex	glial-cells	Medium	Supported
MAPRE1	cerebral-cortex	glial-cells	Low	Supported
SNTA1	cerebral-cortex	glial-cells	Medium	Approved
E2F1	cerebral-cortex	glial-cells	High	Enhanced
RPRD1B	cerebral-cortex	glial-cells	Low	Approved
PXMP4	cerebral-cortex	glial-cells	Low	Approved
CST3	cerebral-cortex	glial-cells	Low	Enhanced
AHCY	cerebral-cortex	glial-cells	Medium	Approved
RBFA	cerebral-cortex	glial-cells	Low	Approved
USP14	cerebral-cortex	glial-cells	Low	Approved
VAPA	cerebral-cortex	glial-cells	Medium	Approved
LPIN2	cerebral-cortex	glial-cells	Low	Enhanced
SMCHD1	cerebral-cortex	glial-cells	Low	Approved
CEP76	cerebral-cortex	glial-cells	Medium	Approved
ST8SIA5	cerebral-cortex	glial-cells	Low	Approved
SMAD7	cerebral-cortex	glial-cells	Medium	Approved
ANKRD12	cerebral-cortex	glial-cells	High	Approved
MIB1	cerebral-cortex	glial-cells	Low	Approved
RBBP8	cerebral-cortex	glial-cells	Low	Approved
RIOK3	cerebral-cortex	glial-cells	Low	Approved
CSTF2	cerebral-cortex	glial-cells	Medium	Supported
PSMD10	cerebral-cortex	glial-cells	Low	Approved
TBL1X	cerebral-cortex	glial-cells	High	Approved
GPR143	cerebral-cortex	glial-cells	Low	Enhanced
PGRMC1	cerebral-cortex	glial-cells	Low	Enhanced
POLA1	cerebral-cortex	glial-cells	Medium	Supported
MID1	cerebral-cortex	glial-cells	Medium	Approved
NKAP	cerebral-cortex	glial-cells	Medium	Supported
ALG13	cerebral-cortex	glial-cells	Low	Approved
MOSPD1	cerebral-cortex	glial-cells	Medium	Approved
WDR13	cerebral-cortex	glial-cells	Medium	Supported
STAG2	cerebral-cortex	glial-cells	Medium	Supported
NAA10	cerebral-cortex	glial-cells	Low	Supported
RBBP7	cerebral-cortex	glial-cells	High	Supported
FMR1	cerebral-cortex	glial-cells	High	Approved
SLC35A2	cerebral-cortex	glial-cells	Low	Approved
PQBP1	cerebral-cortex	glial-cells	High	Supported
PCSK1N	cerebral-cortex	glial-cells	Medium	Enhanced
EMD	cerebral-cortex	glial-cells	Low	Supported
TAZ	cerebral-cortex	glial-cells	Low	Approved
PGK1	cerebral-cortex	glial-cells	Low	Approved
CD99L2	cerebral-cortex	glial-cells	Low	Enhanced
CDK16	cerebral-cortex	glial-cells	Low	Approved
HTATSF1	cerebral-cortex	glial-cells	Medium	Supported
PIN4	cerebral-cortex	glial-cells	Low	Approved
MAGED2	cerebral-cortex	glial-cells	Medium	Supported
SRPX2	cerebral-cortex	glial-cells	Medium	Approved
NALCN	cerebral-cortex	glial-cells	Medium	Approved
FNDC3A	cerebral-cortex	glial-cells	Low	Approved
KLF5	cerebral-cortex	glial-cells	Low	Approved
STK24	cerebral-cortex	glial-cells	Medium	Enhanced
ARHGEF7	cerebral-cortex	glial-cells	Low	Approved
KPNA3	cerebral-cortex	glial-cells	High	Approved
RGCC	cerebral-cortex	glial-cells	Low	Enhanced
INTS6	cerebral-cortex	glial-cells	Low	Supported
CLN5	cerebral-cortex	glial-cells	High	Approved
CORO1A	cerebral-cortex	glial-cells	Medium	Enhanced
MAPK3	cerebral-cortex	glial-cells	Medium	Approved
ELMO3	cerebral-cortex	glial-cells	Low	Approved
NUTF2	cerebral-cortex	glial-cells	Low	Supported
NFAT5	cerebral-cortex	glial-cells	Medium	Approved
N4BP1	cerebral-cortex	glial-cells	Medium	Approved
ARL2BP	cerebral-cortex	glial-cells	Low	Approved
PLLP	cerebral-cortex	glial-cells	Medium	Enhanced
CTCF	cerebral-cortex	glial-cells	High	Supported
PARD6A	cerebral-cortex	glial-cells	Low	Approved
CYB5B	cerebral-cortex	glial-cells	Medium	Approved
PSMD7	cerebral-cortex	glial-cells	Medium	Enhanced
COG4	cerebral-cortex	glial-cells	Medium	Approved
SLC7A6OS	cerebral-cortex	glial-cells	Medium	Approved
AXIN1	cerebral-cortex	glial-cells	Medium	Approved
HCFC1R1	cerebral-cortex	glial-cells	Low	Approved
MPG	cerebral-cortex	glial-cells	Medium	Approved
COTL1	cerebral-cortex	glial-cells	Low	Enhanced
USP10	cerebral-cortex	glial-cells	Medium	Enhanced
CRISPLD2	cerebral-cortex	glial-cells	Low	Approved
ZNF500	cerebral-cortex	glial-cells	Medium	Supported
NME4	cerebral-cortex	glial-cells	Low	Approved
NOMO3	cerebral-cortex	glial-cells	Medium	Approved
NARFL	cerebral-cortex	glial-cells	Medium	Approved
CLCN7	cerebral-cortex	glial-cells	Medium	Supported
